Количество дней со среднесуточной температурой ниже 0°С_в следующем месяце,Сумма максимальных температур,Количество дней со среднесуточной температурой выше 0°С_в следующем месяце,Среднее изменение суточного количества осадков_6 месяцев назад,Количество дней со среднесуточной температурой ниже 0°С_1 месяц назад,Сумма квадратов положительных температур_2 месяца назад,mean_temp_amplitude_3 месяца назад,Сумма максимальных температур_в следующем месяце,Минимальная температура_1 месяц назад,Сумма квадратов отрицательных температур_5 месяца назад,Средняя температура,Сумма минимальных температур,mean_temp_amplitude_2 месяца назад,mean_temp_amplitude,Сумма квадратов среднесуточных температур_5 месяца назад,Сумма максимальных температур_1 месяц назад,Сумма квадратов отрицательных температур_1 месяц назад,Сумма отрицательных температур_в следующем месяце,Сумма квадратов положительных температур_в следующем месяце,Сумма квадратов положительных температур_1 месяц назад,Сумма отрицательных температур_1 месяц назад,Максимальная температура_1 месяц назад,Количество дней с суточными осадками более 10 мм_2 месяца назад,Сумма квадратов среднесуточных температур_1 месяц назад,mean_temp_amplitude_5 месяца назад,Сумма квадратов отрицательных температур_в следующем месяце,Максимальная температура,Сумма отрицательных температур,Минимальная температура_в следующем месяце,Сумма минимальных температур_1 месяц назад,Сумма квадратов отрицательных температур,Сумма квадратов среднесуточных температур,Среднее изменение суточного количества осадков_4 месяца назад,Сумма положительных температур,Сумма положительных температур_2 месяца назад,Максимальное количество осадков_2 месяца назад,Среднее изменение суточного количества осадков_2 месяца назад,Количество дней с суточными осадками более 1 мм_6 месяцев назад,Среднее изменение суточного количества осадков_в следующем месяце,ij_1,Среднее изменение суточного количества осадков_3 месяца назад,Количество дней со среднесуточной температурой выше 0°С_2 месяца назад,Количество дней с среднесуточной отрицательной температурой и наличием осадков_в следующем месяце,Средняя температура_в следующем месяце,Сумма положительных температур_в следующем месяце,mean_temp_amplitude_1 месяц назад,Среднее изменение суточного количества осадков_7 месяцев назад,Сумма осадков_7 месяцев назад,Сумма минимальных температур_в следующем месяце,Минимальная температура,Сумма положительных температур_1 месяц назад,Разница между максимальной и минимальной температурой _в следующем месяце,Количество дней с среднесуточной отрицательной температурой и наличием осадков_3 месяца назад,Разница между максимальной и минимальной температурой _5 месяца назад,Количество дней с суточными осадками более 10 мм_7 месяцев назад,Максимальная температура_в следующем месяце,mean_temp_amplitude_6 месяцев назад,Сумма квадратов суточного количества осадков_4 месяца назад,Сумма квадратов среднесуточных температур_6 месяцев назад,Количество дней со среднесуточной температурой ниже 0°С_4 месяца назад,Разница между максимальной и минимальной температурой _6 месяцев назад,Средняя температура_1 месяц назад
31.0,-292.5,0.0,0.0166666666666666,31.0,0.0,6.163333333333333,-401.0,-13.76774193548387,0.0,-13.839285714285714,-489.7,6.748387096774193,7.042857142857143,1327.13,-239.7,4447.820000000001,-562.1999999999999,0.0,0.0,-329.80000000000007,-7.732258064516128,0.0,4447.820000000001,5.35,11108.02,-10.446428571428571,-387.5,-23.40322580645161,-426.8,6261.15,6261.15,-0.0733333333333333,0.0,0.0,6.1,0.0933333333333333,6.0,-0.0333333333333333,0.0,0.0068965517241379,3.0,20.0,-18.135483870967743,0.0,6.035483870967742,4.440892098500626e-17,61.7,-725.5,-17.489285714285714,0.0,30.4,20.0,18.4,1.0,-12.935483870967742,6.803225806451613,244.72000000000003,3716.57,22.0,21.4,-10.638709677419357
30.0,-401.0,11.0,0.4448275862068966,28.0,0.0,6.748387096774193,-92.8,-17.489285714285714,390.7700000000001,-18.135483870967743,-725.5,6.035483870967742,10.46774193548387,548.4299999999998,-292.5,6261.15,-231.2,0.09,0.0,-387.5,-10.446428571428571,0.0,6261.15,4.919354838709677,2804.199999999999,-12.935483870967742,-562.1999999999999,-11.9,-489.7,11108.02,11108.02,0.0068965517241379,0.0,0.0,7.5,-0.0266666666666666,16.0,-0.0344827586206896,0.0,0.0933333333333333,1.0,17.0,-7.696666666666667,0.3,7.042857142857143,0.0166666666666666,47.4,-357.0,-23.40322580645161,0.0,31.7,16.0,23.200000000000003,2.0,-3.0933333333333333,5.35,109.84000000000005,1327.13,29.0,18.4,-13.839285714285714
12.0,-92.8,23.0,-0.0733333333333333,31.0,0.0,6.035483870967742,284.5,-23.40322580645161,4155.6,-7.696666666666667,-357.0,7.042857142857143,8.806666666666667,4160.58,-401.0,11108.02,-57.5,1642.25,0.0,-562.1999999999999,-12.935483870967742,0.0,11108.02,6.163333333333333,445.4500000000001,-3.0933333333333333,-231.2,-0.393548387096774,-725.5,2804.199999999999,2804.29,0.0933333333333333,0.3,0.0,4.2,-2.05596856412066e-17,14.0,0.2666666666666665,0.0,-0.0266666666666666,0.0,5.0,3.812903225806452,175.70000000000002,10.46774193548387,0.4448275862068966,81.9,-12.199999999999996,-11.9,0.0,38.8,22.0,31.2,3.0,9.17741935483871,4.919354838709677,82.85999999999999,548.4299999999998,31.0,23.200000000000003,-18.135483870967743
0.0,284.5,30.0,0.0068965517241379,30.0,0.0,7.042857142857143,399.6,-11.9,7879.690000000001,3.812903225806452,-12.199999999999996,10.46774193548387,9.570967741935483,7879.690000000001,-92.8,2804.199999999999,0.0,2958.73,0.09,-231.2,-3.0933333333333333,0.0,2804.29,6.748387096774193,0.0,9.17741935483871,-57.5,4.946666666666667,-357.0,445.4500000000001,2087.7000000000003,-0.0266666666666666,175.70000000000002,0.0,6.3,-0.0333333333333333,12.0,-0.0275862068965517,0.0,-2.05596856412066e-17,0.0,0.0,8.656666666666666,259.7,8.806666666666667,-0.0733333333333333,56.0,148.4,-0.393548387096774,0.3,25.5,11.0,36.2,0.0,13.32,6.163333333333333,123.68,4160.58,31.0,31.2,-7.696666666666667
0.0,399.6,31.0,0.0933333333333333,12.0,0.09,10.46774193548387,586.6,-0.393548387096774,4447.820000000001,8.656666666666666,148.4,8.806666666666667,8.373333333333333,4447.820000000001,284.5,445.4500000000001,0.0,7085.240000000001,1642.25,-57.5,9.17741935483871,2.0,2087.7000000000003,6.035483870967742,0.0,13.32,0.0,9.735483870967744,-12.199999999999996,0.0,2958.73,-2.05596856412066e-17,259.7,0.3,12.0,-0.0344827586206896,10.0,0.0266666666666666,0.0,-0.0333333333333333,11.0,0.0,13.812903225806451,428.2000000000001,9.570967741935483,0.0068965517241379,34.4,301.8,4.946666666666667,175.70000000000002,27.9,20.0,25.7,0.0,18.92258064516129,6.748387096774193,38.34,7879.690000000001,28.0,36.2,3.812903225806452
0.0,586.6,31.0,-0.0266666666666666,0.0,1642.25,8.806666666666667,542.3,4.946666666666667,6261.15,13.812903225806451,301.8,9.570967741935483,9.187096774193549,6261.15,399.6,0.0,0.0,5260.87,2958.73,0.0,13.32,1.0,2958.73,7.042857142857143,0.0,18.92258064516129,0.0,8.745161290322581,148.4,0.0,7085.240000000001,-0.0333333333333333,428.2000000000001,175.70000000000002,19.8,0.2666666666666665,8.0,-0.1,0.0,-0.0344827586206896,23.0,0.0,12.667741935483871,392.7,8.373333333333333,0.0933333333333333,27.4,271.1,9.735483870967744,259.7,19.2,17.0,29.0,0.0,17.493548387096773,6.035483870967742,120.67,4447.820000000001,31.0,25.7,8.656666666666666
2.0,542.3,30.0,-2.05596856412066e-17,0.0,2958.73,9.570967741935483,339.1,9.735483870967744,11108.02,12.667741935483871,271.1,8.373333333333333,8.748387096774193,11108.02,586.6,0.0,0.0,2031.16,7085.240000000001,0.0,18.92258064516129,0.0,7085.240000000001,10.46774193548387,0.0,17.493548387096773,0.0,4.989999999999999,301.8,0.0,5260.87,-0.0344827586206896,392.7,259.7,9.2,-0.0275862068965517,4.0,0.0137931034482759,0.0,0.2666666666666665,30.0,0.0,7.806666666666667,234.2,9.187096774193549,-0.0266666666666666,33.4,149.7,8.745161290322581,428.2000000000001,20.2,5.0,30.4,0.0,11.303333333333336,7.042857142857143,411.23,6261.15,30.0,29.0,13.812903225806451
13.0,339.1,26.0,-0.0333333333333333,0.0,7085.240000000001,8.373333333333333,167.2,8.745161290322581,2804.199999999999,7.806666666666667,149.7,9.187096774193549,6.3133333333333335,2804.29,542.3,0.0,-29.800000000000004,950.5,5260.87,0.0,17.493548387096773,3.0,5260.87,8.806666666666667,136.36,11.303333333333336,0.0,0.967741935483871,271.1,0.0,2031.16,0.2666666666666665,234.2,428.2000000000001,19.6,0.0266666666666666,6.0,-0.3466666666666666,0.0,-0.0275862068965517,31.0,7.0,3.135483870967742,127.0,8.748387096774193,-2.05596856412066e-17,14.6,30.0,4.989999999999999,392.7,26.1,0.0,31.7,0.0,5.393548387096774,10.46774193548387,570.25,11108.02,12.0,30.4,12.667741935483871
21.0,167.2,20.0,-0.0344827586206896,2.0,5260.87,9.187096774193549,38.1,4.989999999999999,445.4500000000001,3.135483870967742,30.0,8.748387096774193,4.425806451612903,2087.7000000000003,339.1,0.0,-40.2,74.44999999999999,2031.16,0.0,11.303333333333336,2.0,2031.16,9.570967741935483,193.36,5.393548387096774,-29.800000000000004,-2.1866666666666665,149.7,136.36,1086.86,-0.0275862068965517,127.0,392.7,15.6,-0.1,11.0,-0.4068965517241379,0.0,0.0266666666666666,31.0,12.0,-0.3566666666666666,29.5,6.3133333333333335,-0.0333333333333333,31.7,-65.6,0.967741935483871,234.2,19.9,0.0,38.8,0.0,1.27,8.806666666666667,253.0,2804.29,0.0,31.7,7.806666666666667
31.0,38.1,4.0,0.2666666666666665,13.0,2031.16,8.748387096774193,-191.6,0.967741935483871,0.0,-0.3566666666666666,-65.6,6.3133333333333335,3.4566666666666666,2958.73,167.2,136.36,-271.3999999999999,0.0,950.5,-29.800000000000004,5.393548387096774,1.0,1086.86,8.373333333333333,3371.3399999999992,1.27,-40.2,-12.148387096774194,30.0,193.36,267.81,0.0266666666666666,29.5,234.2,10.2,0.0137931034482759,11.0,-0.0233333333333333,0.0,-0.1,30.0,25.0,-8.754838709677419,0.0,4.425806451612903,-0.0344827586206896,54.1,-376.6,-2.1866666666666665,127.0,25.6,0.0,25.5,2.0,-6.180645161290323,9.570967741935483,826.6400000000001,2087.7000000000003,0.0,38.8,3.135483870967742
31.0,-191.6,0.0,-0.0275862068965517,21.0,950.5,6.3133333333333335,-580.0,-2.1866666666666665,0.0,-8.754838709677419,-376.6,4.425806451612903,5.967741935483871,7085.240000000001,38.1,193.36,-683.3,0.0,74.44999999999999,-40.2,1.27,2.0,267.81,9.187096774193549,18079.95,-6.180645161290323,-271.3999999999999,-26.074193548387097,-65.6,3371.3399999999992,3371.34,-0.1,0.0,127.0,12.7,-0.3466666666666666,8.0,-2.960594732333751e-17,0.0,0.0137931034482759,26.0,15.0,-22.041935483870965,0.0,3.4566666666666666,0.2666666666666665,58.5,-808.3,-12.148387096774194,29.5,37.8,0.0,27.9,1.0,-18.70967741935484,8.373333333333333,476.23,2958.73,0.0,25.5,-0.3566666666666666
28.0,-580.0,0.0,0.0266666666666666,31.0,74.44999999999999,4.425806451612903,-415.0,-12.148387096774194,0.0,-22.041935483870965,-808.3,3.4566666666666666,7.364516129032258,5260.87,-191.6,3371.3399999999992,-505.7000000000001,0.0,0.0,-271.3999999999999,-6.180645161290323,1.0,3371.34,8.748387096774193,10737.03,-18.70967741935484,-683.3,-22.389285714285712,-376.6,18079.95,18079.95,0.0137931034482759,0.0,29.5,15.7,-0.4068965517241379,9.0,-2.0559685641206598e-18,0.0,-0.3466666666666666,20.0,14.0,-18.060714285714287,0.0,5.967741935483871,-0.0275862068965517,41.8,-626.9,-26.074193548387097,0.0,34.3,7.0,19.2,0.0,-14.821428571428571,9.187096774193549,444.63,7085.240000000001,2.0,27.9,-8.754838709677419
31.0,-415.0,1.0,-0.1,31.0,0.0,3.4566666666666666,-264.4,-26.074193548387097,0.0,-18.060714285714287,-626.9,5.967741935483871,7.567857142857142,2031.16,-580.0,18079.95,-411.0,0.0,0.0,-683.3,-18.70967741935484,0.0,18079.95,6.3133333333333335,6421.02,-14.821428571428571,-505.7000000000001,-17.809677419354838,-808.3,10737.03,10737.03,-0.3466666666666666,0.0,0.0,7.5,-0.0233333333333333,9.0,-0.0066666666666666,0.0,-0.4068965517241379,4.0,18.0,-13.258064516129032,0.0,7.364516129032258,0.0266666666666666,72.6,-552.1,-22.389285714285712,0.0,31.2,12.0,20.2,3.0,-8.529032258064515,8.748387096774193,413.05,5260.87,13.0,19.2,-22.041935483870965
30.0,-264.4,12.0,0.0137931034482759,28.0,0.0,5.967741935483871,-71.2,-22.389285714285712,136.36,-13.258064516129032,-552.1,7.364516129032258,9.28064516129032,1086.86,-415.0,10737.03,-195.2,1.7199999999999998,0.0,-505.7000000000001,-14.821428571428571,0.0,10737.03,4.425806451612903,2411.1,-8.529032258064515,-411.0,-10.376666666666669,-626.9,6421.02,6421.02,-0.4068965517241379,0.0,0.0,6.2,-2.960594732333751e-17,18.0,-1.914177628664063e-18,0.0,-0.0233333333333333,0.0,10.0,-6.433333333333334,2.2,7.567857142857142,-0.1,53.5,-311.3,-17.809677419354838,0.0,33.6,25.0,26.1,2.0,-2.373333333333333,6.3133333333333335,668.0000000000001,2031.16,21.0,20.2,-18.060714285714287
22.0,-71.2,30.0,-0.3466666666666666,31.0,0.0,7.364516129032258,223.6,-17.809677419354838,193.36,-6.433333333333334,-311.3,7.567857142857142,8.003333333333334,267.81,-264.4,6421.02,-7.1,563.6899999999999,0.0,-411.0,-8.529032258064515,0.0,6421.02,3.4566666666666666,14.389999999999995,-2.373333333333333,-195.2,-1.2483870967741937,-552.1,2411.1,2412.82,-0.0233333333333333,2.2,0.0,2.2,-2.0559685641206598e-18,10.0,-2.960594732333751e-17,0.0,-2.960594732333751e-17,0.0,3.0,2.5806451612903225,87.10000000000001,9.28064516129032,0.0137931034482759,78.89999999999999,-38.7,-10.376666666666669,0.0,28.3,15.0,19.9,1.0,7.212903225806452,4.425806451612903,160.46,1086.86,31.0,26.1,-13.258064516129032
0.0,223.6,30.0,-0.4068965517241379,30.0,0.0,7.567857142857142,539.7,-10.376666666666669,3371.3399999999992,2.5806451612903225,-38.7,9.28064516129032,8.461290322580645,3371.34,-71.2,2411.1,0.0,5295.290000000001,1.7199999999999998,-195.2,-2.373333333333333,0.0,2412.82,5.967741935483871,0.0,7.212903225806452,-7.1,7.66,-311.3,14.389999999999995,578.0799999999999,-2.960594732333751e-17,87.10000000000001,0.0,5.8,-0.0066666666666666,24.0,-0.0034482758620689,0.0,-2.0559685641206598e-18,1.0,0.0,12.083333333333334,362.5,8.003333333333334,-0.3466666666666666,54.3,229.8,-1.2483870967741937,2.2,31.1,14.0,25.6,2.0,17.990000000000002,3.4566666666666666,140.53000000000003,267.81,31.0,19.9,-6.433333333333334
0.0,539.7,31.0,-0.0233333333333333,22.0,1.7199999999999998,9.28064516129032,484.0,-1.2483870967741937,18079.95,12.083333333333334,229.8,8.003333333333334,10.33,18079.95,223.6,14.389999999999995,0.0,4694.77,563.6899999999999,-7.1,7.212903225806452,0.0,578.0799999999999,7.364516129032258,0.0,17.990000000000002,0.0,7.751612903225807,-38.7,0.0,5295.290000000001,-2.0559685641206598e-18,362.5,2.2,3.5,-1.914177628664063e-18,15.0,0.0699999999999998,0.0,-0.0066666666666666,12.0,0.0,10.97741935483871,340.29999999999995,8.461290322580645,-0.4068965517241379,98.6,240.3,7.66,87.10000000000001,31.3,18.0,37.8,1.0,15.612903225806452,5.967741935483871,12.03,3371.34,28.0,25.6,2.5806451612903225
1.0,484.0,31.0,-2.960594732333751e-17,0.0,563.6899999999999,8.003333333333334,453.1,7.66,10737.03,10.97741935483871,240.3,8.461290322580645,7.861290322580646,10737.03,539.7,0.0,0.0,3348.4100000000003,5295.290000000001,0.0,17.990000000000002,0.0,5295.290000000001,7.567857142857142,0.0,15.612903225806452,0.0,6.5,229.8,0.0,4694.77,-0.0066666666666666,340.29999999999995,87.10000000000001,5.1,-2.960594732333751e-17,10.0,-0.2133333333333333,0.0,-1.914177628664063e-18,30.0,0.0,10.003225806451614,310.1,10.33,-0.0233333333333333,46.6,201.5,7.751612903225807,362.5,22.5,10.0,34.3,0.0,14.616129032258064,7.364516129032258,79.91000000000001,18079.95,31.0,37.8,12.083333333333334
6.0,453.1,30.0,-2.0559685641206598e-18,0.0,5295.290000000001,8.461290322580645,283.0,7.751612903225807,6421.02,10.003225806451614,201.5,10.33,8.116129032258064,6421.02,484.0,0.0,0.0,1487.35,4694.77,0.0,15.612903225806452,0.0,4694.77,9.28064516129032,0.0,14.616129032258064,0.0,3.216666666666667,240.3,0.0,3348.4100000000003,-1.914177628664063e-18,310.1,362.5,3.4,-0.0034482758620689,2.0,-0.606896551724138,0.0,-2.960594732333751e-17,30.0,0.0,6.096666666666667,182.9,7.861290322580646,-2.960594732333751e-17,37.1,96.5,6.5,340.29999999999995,20.1,3.0,31.2,0.0,9.433333333333334,7.567857142857142,61.28,10737.03,30.0,34.3,10.97741935483871
30.0,283.0,16.0,-0.0066666666666666,1.0,4694.77,10.33,-10.8,6.5,2411.1,6.096666666666667,96.5,7.861290322580646,6.216666666666667,2412.82,453.1,0.0,-105.0,11.68,3348.4100000000003,0.0,14.616129032258064,2.0,3348.4100000000003,8.003333333333334,782.28,9.433333333333334,0.0,-5.77741935483871,201.5,0.0,1487.3500000000004,-2.960594732333751e-17,182.9,340.29999999999995,31.3,0.0699999999999998,7.0,0.0733333333333334,0.0,-0.0034482758620689,31.0,15.0,-3.096774193548387,9.0,8.116129032258064,-2.0559685641206598e-18,10.9,-179.1,3.216666666666667,310.1,22.2,0.0,33.6,0.0,-0.3483870967741935,9.28064516129032,44.84,6421.02,22.0,31.2,10.003225806451614
30.0,-10.8,2.0,-1.914177628664063e-18,6.0,3348.4100000000003,7.861290322580646,-262.7,3.216666666666667,14.389999999999995,-3.096774193548387,-179.1,8.116129032258064,5.429032258064517,578.0799999999999,283.0,0.0,-351.40000000000003,0.0,1487.35,0.0,9.433333333333334,1.0,1487.3500000000004,8.461290322580645,5045.580000000001,-0.3483870967741935,-105.0,-15.423333333333334,96.5,782.28,793.96,-0.0034482758620689,9.0,310.1,11.1,-0.2133333333333333,6.0,0.0379310344827586,0.0,0.0699999999999998,31.0,20.0,-11.713333333333336,0.0,6.216666666666667,-0.0066666666666666,25.5,-462.7,-5.77741935483871,182.9,25.8,0.0,28.3,0.0,-8.756666666666666,8.003333333333334,25.66,2412.82,0.0,33.6,6.096666666666667
27.0,-262.7,7.0,-2.960594732333751e-17,30.0,1487.35,8.116129032258064,-226.1,-5.77741935483871,0.0,-11.713333333333336,-462.7,6.216666666666667,6.666666666666667,5295.290000000001,-10.8,782.28,-334.2,9.22,11.68,-105.0,-0.3483870967741935,3.0,793.96,10.33,5948.839999999998,-8.756666666666666,-351.40000000000003,-14.290322580645162,-179.1,5045.580000000001,5045.58,0.0699999999999998,0.0,182.9,43.7,-0.606896551724138,4.0,0.0499999999999999,0.0,-0.2133333333333333,30.0,20.0,-10.593548387096773,5.8,5.429032258064517,-1.914177628664063e-18,22.2,-443.0,-15.423333333333334,9.0,35.1,0.0,31.1,0.0,-7.293548387096774,8.461290322580645,1430.2,578.0799999999999,0.0,28.3,-3.096774193548387
31.0,-226.1,0.0,-0.0034482758620689,30.0,11.68,6.216666666666667,-231.0,-15.423333333333334,0.0,-10.593548387096773,-443.0,5.429032258064517,6.996774193548387,4694.77,-262.7,5045.580000000001,-321.2,0.0,0.0,-351.40000000000003,-8.756666666666666,1.0,5045.58,7.861290322580646,5140.099999999999,-7.293548387096774,-334.2,-13.787096774193548,-462.7,5948.839999999998,5958.06,-0.2133333333333333,5.8,9.0,11.6,0.0733333333333334,4.0,0.0366666666666667,0.0,-0.606896551724138,16.0,24.0,-10.361290322580643,0.0,6.666666666666667,-2.960594732333751e-17,14.2,-427.4,-14.290322580645162,0.0,35.4,0.0,31.3,0.0,-7.451612903225806,10.33,184.09,5295.290000000001,1.0,31.1,-11.713333333333336
28.0,-231.0,0.0,0.0699999999999998,27.0,0.0,5.429032258064517,-510.5,-14.290322580645162,0.0,-10.361290322580643,-427.4,6.666666666666667,6.335483870967742,3348.4100000000003,-226.1,5948.839999999998,-638.3999999999999,0.0,9.22,-334.2,-7.293548387096774,1.0,5958.06,8.116129032258064,15352.179999999998,-7.451612903225806,-321.2,-27.9,-443.0,5140.099999999999,5140.099999999999,-0.606896551724138,0.0,0.0,10.9,0.0379310344827586,14.0,0.0037037037037037,0.0,0.0733333333333334,2.0,12.0,-22.8,0.0,6.996774193548387,-0.0034482758620689,13.6,-781.2,-13.787096774193548,5.8,35.6,15.0,22.5,0.0,-18.232142857142858,7.861290322580646,3014.7200000000003,4694.77,6.0,31.3,-10.593548387096773
30.0,-510.5,15.0,-0.2133333333333333,31.0,9.22,6.666666666666667,-47.0,-13.787096774193548,0.0,-22.8,-781.2,6.996774193548387,9.667857142857144,1487.3500000000004,-231.0,5140.099999999999,-140.20000000000002,3.09,0.0,-321.2,-7.451612903225806,0.0,5140.099999999999,6.216666666666667,1573.92,-18.232142857142858,-638.3999999999999,-7.44516129032258,-427.4,15352.179999999998,15352.180000000002,0.0733333333333334,0.0,5.8,10.0,0.0499999999999999,4.0,0.0233333333333333,0.0,0.0379310344827586,7.0,16.0,-4.429032258064517,2.9,6.335483870967742,0.0699999999999998,97.0,-230.8,-27.9,0.0,36.7,20.0,20.1,2.0,-1.5161290322580645,8.116129032258064,336.72,3348.4100000000003,30.0,22.5,-10.361290322580643
26.0,-47.0,18.0,-0.606896551724138,28.0,0.0,6.996774193548387,49.7,-27.9,782.28,-4.429032258064517,-230.8,6.335483870967742,5.929032258064516,793.96,-510.5,15352.179999999998,-95.1,80.59000000000002,0.0,-638.3999999999999,-18.232142857142858,0.0,15352.180000000002,5.429032258064517,671.7299999999999,-1.5161290322580645,-140.20000000000002,-5.87,-781.2,1573.92,1577.0100000000002,0.0379310344827586,2.9,0.0,8.0,0.0366666666666667,17.0,-0.0862068965517241,0.0,0.0499999999999999,0.0,11.0,-2.3866666666666663,23.5,9.667857142857144,-0.2133333333333333,24.5,-176.1,-7.44516129032258,0.0,30.8,20.0,22.2,1.0,1.6566666666666667,6.216666666666667,205.38,1487.3500000000004,30.0,20.1,-22.8
21.0,49.7,23.0,0.0733333333333334,30.0,0.0,6.335483870967742,152.0,-7.44516129032258,5045.580000000001,-2.3866666666666663,-176.1,9.667857142857144,7.526666666666667,5045.58,-47.0,1573.92,-54.3,328.05,3.09,-140.20000000000002,-1.5161290322580645,0.0,1577.0100000000002,6.666666666666667,232.37000000000003,1.6566666666666667,-95.1,-3.629032258064516,-230.8,671.7299999999999,752.3199999999999,0.0499999999999999,23.5,0.0,4.2,0.0037037037037037,12.0,-0.07,1.0,0.0366666666666667,0.0,3.0,0.3935483870967741,66.5,5.929032258064516,-0.606896551724138,141.2,-112.5,-5.87,2.9,28.2,24.0,25.8,3.0,4.903225806451613,5.429032258064517,270.08,793.96,27.0,22.2,-4.429032258064517
8.0,152.0,30.0,0.0379310344827586,26.0,3.09,9.667857142857144,376.7,-5.87,5948.839999999998,0.3935483870967741,-112.5,5.929032258064516,8.53225806451613,5958.06,49.7,671.7299999999999,-0.2,3837.01,80.59000000000002,-95.1,1.6566666666666667,0.0,752.3199999999999,6.996774193548387,0.04,4.903225806451613,-54.3,5.03,-176.1,232.37000000000003,560.4200000000001,0.0366666666666667,66.5,2.9,6.1,0.0233333333333333,10.0,-0.0172413793103447,0.0,0.0037037037037037,15.0,1.0,8.37,251.3,7.526666666666667,0.0733333333333334,58.0,150.9,-3.629032258064516,23.5,33.4,12.0,35.1,1.0,12.556666666666668,6.666666666666667,178.54,5045.58,31.0,25.8,-2.3866666666666663
0.0,376.7,31.0,0.0499999999999999,21.0,80.59000000000002,5.929032258064516,667.2,-3.629032258064516,5140.099999999999,8.37,150.9,7.526666666666667,7.526666666666667,5140.099999999999,152.0,232.37000000000003,0.0,9083.680000000002,328.05,-54.3,4.903225806451613,0.0,560.4200000000001,6.335483870967742,0.0,12.556666666666668,-0.2,12.270967741935484,-112.5,0.04,3837.05,0.0037037037037037,251.3,23.5,4.0,-0.0862068965517241,16.0,-0.0133333333333333,0.0,0.0233333333333333,18.0,0.0,16.161290322580644,501.0,8.53225806451613,0.0379310344827586,41.6,380.4,5.03,66.5,28.3,16.0,35.4,1.0,21.52258064516129,6.996774193548387,33.91,5958.06,28.0,35.1,0.3935483870967741
2.0,667.2,31.0,0.0366666666666667,8.0,328.05,7.526666666666667,515.5,5.03,15352.179999999998,16.161290322580644,380.4,8.53225806451613,9.251612903225809,15352.180000000002,376.7,0.04,0.0,4878.490000000001,3837.01,-0.2,12.556666666666668,0.0,3837.05,9.667857142857144,0.0,21.52258064516129,0.0,8.203225806451613,150.9,0.0,9083.680000000002,0.0233333333333333,501.0,66.5,4.1,-0.07,12.0,0.1166666666666666,0.0,-0.0862068965517241,23.0,0.0,11.97741935483871,371.3,7.526666666666667,0.0499999999999999,55.8,254.3,12.270967741935484,251.3,28.4,11.0,35.6,0.0,16.629032258064516,6.335483870967742,53.84,5140.099999999999,30.0,35.4,8.37
6.0,515.5,30.0,0.0037037037037037,0.0,3837.01,8.53225806451613,322.9,12.270967741935484,1573.92,11.97741935483871,254.3,7.526666666666667,8.425806451612903,1577.0100000000002,667.2,0.0,0.0,1674.4,9083.680000000002,0.0,21.52258064516129,2.0,9083.680000000002,5.929032258064516,0.0,16.629032258064516,0.0,3.6566666666666663,380.4,0.0,4878.490000000001,-0.0862068965517241,371.3,251.3,14.4,-0.0172413793103447,5.0,0.0275862068965515,0.0,-0.07,30.0,0.0,6.953333333333333,208.6,9.251612903225809,0.0366666666666667,44.2,109.7,8.203225806451613,501.0,20.4,3.0,36.7,0.0,10.763333333333332,9.667857142857144,54.36,15352.180000000002,26.0,35.6,16.161290322580644
10.0,322.9,28.0,0.0233333333333333,2.0,9083.680000000002,7.526666666666667,172.0,8.203225806451613,671.7299999999999,6.953333333333333,109.7,9.251612903225809,7.106666666666667,752.3199999999999,515.5,0.0,-13.3,793.0799999999999,4878.490000000001,0.0,16.629032258064516,3.0,4878.490000000001,7.526666666666667,35.09,10.763333333333332,0.0,1.603225806451613,254.3,0.0,1674.4,-0.07,208.6,501.0,15.1,-0.0133333333333333,5.0,0.0199999999999999,0.0,-0.0172413793103447,31.0,4.0,3.4935483870967743,121.6,8.425806451612903,0.0037037037037037,14.5,49.7,3.6566666666666663,371.3,18.2,1.0,30.8,0.0,5.548387096774194,5.929032258064516,43.06,1577.0100000000002,21.0,36.7,11.97741935483871
28.0,172.0,5.0,-0.0862068965517241,6.0,4878.490000000001,9.251612903225809,-145.5,3.6566666666666663,232.37000000000003,3.4935483870967743,49.7,8.425806451612903,3.94516129032258,560.4200000000001,322.9,0.0,-225.0,4.140000000000001,1674.4,0.0,10.763333333333332,5.0,1674.4,8.53225806451613,2629.7200000000003,5.548387096774194,-13.3,-10.776666666666667,109.7,35.09,828.17,-0.0172413793103447,121.6,371.3,19.6,0.1166666666666666,8.0,0.1,0.0,-0.0133333333333333,31.0,19.0,-7.4,3.0,7.106666666666667,0.0233333333333333,19.6,-323.3,1.603225806451613,208.6,28.3,0.0,28.2,0.0,-4.85,7.526666666666667,620.4,752.3199999999999,8.0,30.8,6.953333333333333
31.0,-145.5,12.0,-0.07,10.0,1674.4,8.425806451612903,-110.2,1.603225806451613,0.04,-7.4,-323.3,7.106666666666667,5.926666666666667,3837.05,172.0,35.09,-212.60000000000005,0.21,793.0799999999999,-13.3,5.548387096774194,1.0,828.17,7.526666666666667,2780.62,-4.85,-225.0,-10.567741935483872,49.7,2629.7200000000003,2633.86,-0.0133333333333333,3.0,208.6,17.2,0.0275862068965515,5.0,0.0866666666666666,0.0,0.1166666666666666,30.0,25.0,-6.835483870967742,0.7,3.94516129032258,-0.0862068965517241,24.6,-327.6,-10.776666666666667,121.6,31.3,0.0,33.4,0.0,-3.55483870967742,8.53225806451613,778.7800000000001,560.4200000000001,0.0,28.2,3.4935483870967743
